GP,Date,Unnamed: 2,Opponent,GF,GA,Unnamed: 6,Unnamed: 7,W,L,T,OL,Streak,Season,Att.,LOG,Notes
63,2023-03-09,,Edmonton Oilers,2,3,L,,49,9,,5,L 1,2023,17850.0,2:25,
64,2023-03-11,,Detroit Red Wings,3,2,W,,50,9,,5,W 1,2023,17850.0,2:36,
65,2023-03-12,@,Detroit Red Wings,3,5,L,,50,10,,5,L 1,2023,19515.0,2:36,
66,2023-03-14,@,Chicago Blackhawks,3,6,L,,50,11,,5,L 2,2023,20188.0,2:42,
67,2023-03-16,@,Winnipeg Jets,3,0,W,,51,11,,5,W 1,2023,14555.0,2:21,
68,2023-03-18,@,Minnesota Wild,5,2,W,,52,11,,5,W 2,2023,19329.0,2:35,
69,2023-03-19,@,Buffalo Sabres,7,0,W,,53,11,,5,W 3,2023,19070.0,2:23,
70,2023-03-21,,Ottawa Senators,2,1,W,,54,11,,5,W 4,2023,17850.0,2:29,
71,2023-03-23,,Montreal Canadiens,4,2,W,,55,11,,5,W 5,2023,17850.0,2:35,
72,2023-03-25,,Tampa Bay Lightning,2,1,W,,56,11,,5,W 6,2023,17850.0,2:29,
73,2023-03-26,@,Carolina Hurricanes,4,3,W,SO,57,11,,5,W 7,2023,18958.0,2:48,
74,2023-03-28,,Nashville Predators,1,2,L,,57,12,,5,L 1,2023,17850.0,2:34,
75,2023-03-30,,Columbus Blue Jackets,2,1,W,OT,58,12,,5,W 1,2023,17850.0,2:31,
76,2023-04-01,@,Pittsburgh Penguins,4,3,W,,59,12,,5,W 2,2023,18322.0,2:36,
77,2023-04-02,@,St. Louis Blues,4,3,W,SO,60,12,,5,W 3,2023,18096.0,2:48,
78,2023-04-06,,Toronto Maple Leafs,2,1,W,OT,61,12,,5,W 4,2023,17850.0,2:29,
79,2023-04-08,,New Jersey Devils,2,1,W,,62,12,,5,W 5,2023,17850.0,2:35,
80,2023-04-09,@,Philadelphia Flyers,5,3,W,,63,12,,5,W 6,2023,18776.0,2:35,
81,2023-04-11,,Washington Capitals,5,2,W,,64,12,,5,W 7,2023,17850.0,2:36,
82,2023-04-13,@,Montreal Canadiens,5,4,W,,65,12,,5,W 8,2023,21105.0,2:31,
